gene	chr	start.x	end.x	log2r	state	i.start	i.end	mean5mC	n_cpg	pstart	pend	meth_flag	cn_state	mechanism	human_symbol	usym	chrom	start.y	end.y	strand	role	is_hcc	n_ctypes	ctypes	n_cohorts
Ptprd	chr5	90510000	108230000	0.0434	neutral	97415498	97415498	0.313086061381074	110	97413498	97417498	typical	neutral	none	PTPRD	PTPRD	NC_086023.1	95093221	97415498	-	Act	FALSE	8	BCNET,BRCA,CM,DLBCL,ESCA,NSCLC,PRAD,VV	10
Rac1	chr12	14610000	21010000	-0.5066	loss	16150411	16150411	0.132428693907333	143	16148411	16152411	typical	loss	het_loss	RAC1	RAC1	NC_086030.1	16150411	16170864	+	Act	FALSE	2	CM,HNSC	4
Raf1	chr4	149350000	153010000	-0.1586	neutral	150412813	150412813	0.12598495412844	148	150410813	150414813	typical	neutral	none	RAF1	RAF1	NC_086022.1	150352158	150412813	-	Act	FALSE	2	BLCA,CM	2
Ralgds	chr16	11210000	20330000	-0.1623	neutral	11422002	11422002	0.37807807606264	10	11420002	11424002	typical	neutral	none	RALGDS	RALGDS	NC_086021.1	32237644	32278045	+	Act	FALSE	1	SSCC	1
Ralgds	chr3	20030000	35050000	0.0134	neutral	32237644	32237644	0.178202232486528	137	32235644	32239644	typical	neutral	none	RALGDS	RALGDS	NC_086021.1	32237644	32278045	+	Act	FALSE	1	SSCC	1
Rap1gds1	chr2	230170000	233430000	0.0937	neutral	230318555	230318555	0.143121078272166	213	230316555	230320555	typical	neutral	none	RAP1GDS1	RAP1GDS1	NC_086020.1	230173713	230318555	-	Act	FALSE	2	ESCA,RCCC	2
Rara	chr10	83590000	85130000	-0.2135	neutral	84379780	84379780	0.626513255813953	78	84377780	84381780	typical	neutral	none	RARA	RARA	NC_086028.1	84379780	84424371	+	Act	FALSE	1	BC	1
Rbfox1	chr10	7470000	12330000	-0.2734	neutral	10754648	10754648	0.299767660728118	73	10752648	10756648	typical	neutral	none	RBFOX1	RBFOX1	NC_086028.1	8658809	10754648	-	Act	FALSE	1	PRAD	1
Rbfox2	chr7	95610000	111810000	0.0859	neutral	110934901	110934901	0.138339897355796	174	110932901	110936901	typical	neutral	none	RBFOX2	RBFOX2	NC_086025.1	110691230	110934901	-	Act	FALSE	1	THCA	1
Rbm39	chr3	157390000	165910000	-0.0256	neutral	165156453	165156453	0.132808965517241	112	165154453	165158453	typical	neutral	none	RBM39	RBM39	NC_086021.1	165123087	165156453	-	Act	FALSE	1	UCEC	1
Rela	chr1	210690000	238550000	-0.0429	neutral	212354336	212354336	0.207490239172592	149	212352336	212356336	typical	neutral	none	RELA	RELA	NC_086019.1	212354336	212364815	+	Act	FALSE	1	ST	1
Ret	chr4	153030000	154610000	-1.2945	loss	153040556	153040556	0.80839995843724	166	153038556	153042556	typical	loss	het_loss	RET	RET	NC_086022.1	152998344	153040556	-	Act	FALSE	5	CM,LUAD,PCPG,S,THCA	5
Rhoa	chr8	117430000	123490000	-0.2127	neutral	117870548	117870548	0.0721269917203311	155	117868548	117872548	hypo	neutral	promoter_hypo_only	RHOA	RHOA	NC_086026.1	117870548	117904303	+	Act	FALSE	8	BLCA,BLY,DLBCL,HNSC,LY,NHLY,PRAD,ST	10
Rnf213	chr10	85210000	107290000	-0.3096	neutral	105154873	105154873	0.352293159609121	135	105152873	105156873	typical	neutral	none	RNF213	RNF213	NC_086028.1	105154873	105254148	+	Act	FALSE	7	BLCA,ESCA,LUSC,MBL,PRAD,SBCC,UCEC	7
Rragc	chr5	139710000	159130000	-0.4289	loss	141433014	141433014	0.188909303758472	136	141431014	141435014	typical	loss	het_loss	RRAGC	RRAGC	NC_086023.1	141433014	141452546	+	Act	FALSE	1	NHLY	1
Rras2	chr1	161350000	210610000	-0.1496	neutral	177737551	177737551	0.125516157480315	170	177735551	177739551	typical	neutral	none	RRAS2	RRAS2	NC_086019.1	177668143	177737551	-	Act	FALSE	1	UCEC	1
Sall4	chr3	175950000	184150000	-0.2792	neutral	177909743	177909743	0.136112433598937	180	177907743	177911743	typical	neutral	none	SALL4	SALL4	NC_086021.1	177891705	177909743	-	Act	FALSE	3	BRCA,CLL,LUSC	3
Satb1	chr9	3350000	6950000	-0.0795	neutral	5010359	5010359	0.240616484830369	205	5008359	5012359	typical	neutral	none	SATB1	SATB1	NC_086027.1	4916958	5010359	-	Act	FALSE	1	BC	1
Set	chr3	20030000	35050000	0.0134	neutral	33732319	33732319	0.188716112012987	126	33730319	33734319	typical	neutral	none	SET	SET	NC_086021.1	33732319	33743433	+	Act	FALSE	1	SCLC	1
Setbp1	chr18	69570000	83910000	-0.1875	neutral	74827455	74827455	0.166084739530133	245	74825455	74829455	typical	neutral	none	SETBP1	SETBP1	NC_086036.1	74465616	74827455	-	Act	FALSE	4	ACC,PCPG,RCCC,THCA	4
Sf3b1	chr9	44770000	94510000	-0.0019	neutral	64026723	64026723	0.148531172219992	110	64024723	64028723	typical	neutral	none	SF3B1	SF3B1	NC_086027.1	63986829	64026723	-	Act	FALSE	13	AML,BLCA,BRCA,CH,CLL,CM,LNET,MBL,PAAD,PRAD,RCCC,THYM,UVM	23
Sfmbt2	chr17	70890000	76350000	-0.119	neutral	73038599	73038599	0.405993757309942	191	73036599	73040599	typical	neutral	none	SFMBT2	SFMBT2	NC_086035.1	72844037	73038599	-	Act	FALSE	1	MBL	1
Sin3a	chr8	64010000	78330000	-0.1382	neutral	66377471	66377471	0.0990202145214519	169	66375471	66379471	hypo	neutral	promoter_hypo_only	SIN3A	SIN3A	NC_086026.1	66377471	66432150	+	Act	FALSE	1	NHLY	1
Smc1a	chrX	20810000	37070000	-0.1035	neutral	24582732	24582732	0.450342618629174	101	24580732	24584732	typical	neutral	none	SMC1A	SMC1A	NC_086039.1	24582732	24627462	+	Act	FALSE	1	AML	2
Smo	chr4	58210000	62850000	-0.142	neutral	59311084	59311084	0.0771414016489988	131	59309084	59313084	hypo	neutral	promoter_hypo_only	SMO	SMO	NC_086022.1	59311084	59341280	+	Act	FALSE	5	GBM,MBL,MESO,PIA,SBCC	9
Sohlh2	chr2	135690000	151070000	-0.0268	neutral	141512410	141512410	0.807318731358123	99	141510410	141514410	typical	neutral	none	SOHLH2	SOHLH2	NC_086020.1	141512410	141534864	+	Act	FALSE	1	ST	1
Sos1	chr6	5810000	28810000	0.03	neutral	20286117	20286117	0.160552908091525	184	20284117	20288117	typical	neutral	none	SOS1	SOS1	NC_086024.1	20286117	20363350	+	Act	FALSE	1	UCEC	1
Sox17	chr5	5610000	26610000	-0.0116	neutral	19814345	19814345	0.288387286758733	113	19812345	19816345	typical	neutral	none	SOX17	SOX17	NC_086023.1	19814345	19819859	+	Act	FALSE	1	UCEC	1
Spop	chr10	80710000	80930000	0.0962	neutral	80854890	80854890	0.164052069661787	103	80852890	80856890	typical	neutral	none	SPOP	SPOP	NC_086028.1	80854890	80935781	+	Act	FALSE	4	NHLY,PRAD,UCEC,UCS	14
Srgap3	chr4	145350000	149210000	-0.169	neutral	147626407	147626407	0.580321052631579	64	147624407	147628407	typical	neutral	none	SRGAP3	SRGAP3	NC_086022.1	147391082	147626407	-	Act	FALSE	2	CM,MESO	2
Srsf2	chr10	85210000	107290000	-0.3096	neutral	102554200	102554200	0.0730043367160693	258	102552200	102556200	hypo	neutral	promoter_hypo_only	SRSF2	SRSF2	NC_086028.1	102550962	102554200	-	Act	FALSE	2	AML,CESC	2
Stat6	chr7	65230000	65630000	-0.4722	loss	65365505	65365505	0.121517472793229	102	65363505	65367505	typical	loss	het_loss	STAT6	STAT6	NC_086025.1	65365505	65382825	+	Act	FALSE	2	DLBCL,NHLY	3
Susd2	chr20	5290000	25870000	-0.2982	neutral	13016960	13016960	0.813550176856999	76	13014960	13018960	typical	neutral	none	SUSD2	SUSD2	NC_086038.1	13016960	13024264	+	Act	FALSE	1	LUSC	1
Suz12	chr10	65010000	79790000	-0.1331	neutral	65464948	65464948	0.118853762023982	165	65462948	65466948	typical	neutral	none	SUZ12	SUZ12	NC_086028.1	65464948	65510846	+	Act	FALSE	2	AML,PRAD	3
Tcf4	chr18	63230000	66050000	-1.0789	loss	65216840	65216840	0.168548983280615	139	65214840	65218840	typical	loss	het_loss	TCF4	TCF4	NC_086036.1	65216840	65563186	+	Act	FALSE	2	MBL,PIA	2
Tcf7l2	chr1	260530000	270390000	0.2014	neutral	264791335	264791335	0.126677576711251	207	264789335	264793335	typical	neutral	none	TCF7L2	TCF7L2	NC_086019.1	264791335	264984225	+	Act	FALSE	2	COREAD,UCEC	6
Tll1	chr16	25270000	32690000	-0.0235	neutral	30275492	30275492	0.180868225015328	144	30273492	30277492	typical	neutral	none	TLL1	TLL1	NC_086034.1	30275492	30476673	+	Act	FALSE	1	ESCA	1
Top2a	chr10	83590000	85130000	-0.2135	neutral	84473093	84473093	0.282236879000305	90	84471093	84475093	typical	neutral	none	TOP2A	TOP2A	NC_086028.1	84441954	84473093	-	Act	FALSE	1	ST	1
Trim24	chr4	63010000	71890000	-0.062	neutral	67534240	67534240	0.133110946094609	175	67532240	67536240	typical	neutral	none	TRIM24	TRIM24	NC_086022.1	67534240	67659014	+	Act	FALSE	1	PRAD	1
Trip11	chr6	126290000	127470000	-0.1637	neutral	126832619	126832619	0.223855461047748	107	126830619	126834619	typical	neutral	none	TRIP11	TRIP11	NC_086024.1	126760263	126832619	-	Act	FALSE	1	BLCA	1
U2af1	chr20	5290000	25870000	-0.2982	neutral	9755146	9755146	0.15415288378144	137	9753146	9757146	typical	neutral	none	U2AF1	U2AF1	NC_086038.1	9744206	9755146	-	Act	FALSE	7	AML,LUAD,NSCLC,PAAD,PRAD,UCEC,UCS	11
U2af2	chr1	77770000	77990000	-0.6782	loss	77807307	77807307	0.041398754311997	205	77805307	77809307	hypo	loss	het_loss	U2AF2	U2AF2	NC_086019.1	77789752	77807307	-	Act	FALSE	1	AML	1
Ube2d2	chr18	26990000	30130000	-0.0042	neutral	27638399	27638399	0.129259028857785	161	27636399	27640399	typical	neutral	none	UBE2D2	UBE2D2	NC_086036.1	27638399	27680386	+	Act	FALSE	1	MBL	1
Vav1	chr9	910000	2810000	-0.5427	loss	2248856	2248856	0.657251965601966	63	2246856	2250856	typical	loss	het_loss	VAV1	VAV1	NC_086027.1	2248856	2295905	+	Act	FALSE	1	PAAD	1
Xpo1	chr14	80590000	109084928	-0.0588	neutral	101434450	101434450	0.0912068907279177	193	101432450	101436450	hypo	neutral	promoter_hypo_only	XPO1	XPO1	NC_086032.1	101434450	101476705	+	Act	FALSE	4	CLL,DLBCL,NHLY,PRAD	8
Zbtb20	chr11	58230000	77950000	0.2027	neutral	71297039	71297039	0.700359453032105	21	71295039	71299039	typical	neutral	none	ZBTB20	ZBTB20	NC_086029.1	70558010	71297039	-	Act	FALSE	1	LGG	1
Zbtb7b	chr2	154310000	178710000	-0.0152	neutral	177111894	177111894	0.142738222097588	107	177109894	177113894	typical	neutral	none	ZBTB7B	ZBTB7B	NC_086020.1	177093569	177111894	-	Act	FALSE	1	UCS	1
Ajuba	chr15	30430000	37510000	-0.0478	neutral	32000042	32000042	0.08813978868143	214	31998042	32002042	hypo	neutral	promoter_hypo_only	AJUBA	AJUBA	NC_086033.1	31989796	32000042	-	LoF	FALSE	1	HNSC	1
Amer1	chrX	56890000	85810000	-0.0364	neutral	64326377	64326377	0.543875219976219	106	64324377	64328377	typical	neutral	none	AMER1	AMER1	NC_086039.1	64310492	64326377	-	LoF	FALSE	2	COREAD,WT	6
Arhgap35	chr1	85710000	86930000	-0.3919	neutral	86447414	86447414	0.0788226487523993	201	86445414	86449414	hypo	neutral	promoter_hypo_only	ARHGAP35	ARHGAP35	NC_086019.1	86330566	86447414	-	LoF	FALSE	2	LUSC,UCEC	2
Arhgap5	chr6	59910000	91830000	0.0568	neutral	75711199	75711199	0.0775775301320068	222	75709199	75713199	hypo	neutral	promoter_hypo_only	ARHGAP5	ARHGAP5	NC_086024.1	75711199	75774636	+	LoF	FALSE	2	BLCA,MM	4
Arhgef10l	chr5	139710000	159130000	-0.4289	loss	158218358	158218358	0.14531049445005	98	158216358	158220358	typical	loss	het_loss	ARHGEF10L	ARHGEF10L	NC_086023.1	158075370	158218358	-	LoF	FALSE	3	MBL,SBCC,ST	3
Asxl1	chr3	157390000	165910000	-0.0256	neutral	162273828	162273828	0.08173758066557	156	162271828	162275828	hypo	neutral	promoter_hypo_only	ASXL1	ASXL1	NC_086021.1	162273828	162341742	+	LoF	FALSE	11	ALL,AML,BRCA,CLL,ESCA,HGG,HNSC,MBL,PIA,PRAD,RCCC	14
Asxl2	chr6	28870000	32950000	-0.1915	neutral	32090497	32090497	0.751935368217054	29	32088497	32092497	typical	neutral	none	ASXL2	ASXL2	NC_086024.1	32090497	32234487	+	LoF	FALSE	2	AML,BLCA	2
Atf7ip	chr4	168250000	184390000	-0.2145	neutral	171117122	171117122	0.280073096129838	102	171115122	171119122	typical	neutral	none	ATF7IP	ATF7IP	NC_086022.1	171117122	171202871	+	LoF	FALSE	2	LUAD,UCEC	2
Atg7	chr4	149350000	153010000	-0.1586	neutral	149390000	149390000	0.294620373763283	61	149388000	149392000	typical	neutral	none	ATG7	ATG7	NC_086022.1	149390000	149597534	+	LoF	FALSE	1	RCCC	1
Atr	chr8	104790000	105510000	0.0773	neutral	105306299	105306299	0.256781929430961	110	105304299	105308299	typical	neutral	none	ATR	ATR	NC_086026.1	105306299	105403742	+	LoF	FALSE	2	CM,UCEC	2
Atrx	chrX	56890000	85810000	-0.0364	neutral	75062880	75062880	0.580829956308029	135	75060880	75064880	typical	neutral	none	ATRX	ATRX	NC_086039.1	74916548	75062880	-	LoF	FALSE	12	ACC,CLL,GBM,HGG,LEIS,LGG,NB,OS,OV,PAIS,PIA,S	21
B2m	chr3	126370000	129830000	0.1555	neutral	129549236	129549236	0.274057262863143	81	129547236	129551236	typical	neutral	none	B2M	B2M	NC_086021.1	129549236	129555354	+	LoF	FALSE	6	CESC,DLBCL,HNSC,LY,NHLY,NSCLC	8
Bcor	chrX	4710000	16630000	-0.1155	neutral	13282431	13282431	0.194615365287978	182	13280431	13284431	typical	neutral	none	BCOR	BCOR	NC_086039.1	13282431	13402254	+	LoF	FALSE	14	ACC,ALL,AML,CH,CLL,COREAD,EWS,GBM,MBL,PIA,ST,THYM,UCEC,UCS	17
Bcorl1	chrX	125490000	135290000	-0.0306	neutral	132394703	132394703	0.484923920756949	213	132392703	132396703	typical	neutral	none	BCORL1	BCORL1	NC_086039.1	132394703	132462414	+	LoF	FALSE	5	COREAD,HGG,NB,OS,PAAD	6
Bmpr1a	chr16	8650000	11110000	-0.1985	neutral	9786861	9786861	0.819636071032187	45	9784861	9788861	typical	neutral	none	BMPR1A	BMPR1A	NC_086034.1	9740751	9786861	-	LoF	FALSE	2	COREAD,ST	2
Bmpr2	chr9	44770000	94510000	-0.0019	neutral	68685942	68685942	0.0871151515151515	224	68683942	68687942	hypo	neutral	promoter_hypo_only	BMPR2	BMPR2	NC_086027.1	68685942	68801353	+	LoF	FALSE	1	ST	1
Brca1	chr10	85210000	107290000	-0.3096	neutral	86978012	86978012	0.152243037749288	117	86976012	86980012	typical	neutral	none	BRCA1	BRCA1	NC_086028.1	86917693	86978012	-	LoF	FALSE	2	BRCA,OV	4
Brca2	chr12	2650000	5910000	-0.1468	neutral	4895092	4895092	0.328478298501161	99	4893092	4897092	typical	neutral	none	BRCA2	BRCA2	NC_086030.1	4895092	4939340	+	LoF	FALSE	10	BLCA,BRCA,CM,COREAD,HNSC,MBL,OV,PAAD,PRAD,VV	15
Casp8	chr9	44770000	94510000	-0.0019	neutral	67747109	67747109	0.810688235294118	38	67745109	67749109	typical	neutral	none	CASP8	CASP8	NC_086027.1	67747109	67806699	+	LoF	FALSE	7	BLCA,BRCA,CESC,HNSC,SBCC,ST,VV	11
Casz1	chr5	164470000	164590000	-1.0544	loss	164527083	164527083	0.197221573163679	197	164525083	164529083	typical	loss	het_loss	CASZ1	CASZ1	NC_086023.1	164527083	164677037	+	LoF	FALSE	1	PRAD	1
Ccdc6	chr20	5290000	25870000	-0.2982	neutral	18527227	18527227	0.12478846370287	223	18525227	18529227	typical	neutral	none	CCDC6	CCDC6	NC_086038.1	18431243	18527227	-	LoF	FALSE	1	COREAD	1
Ccr7	chr10	83590000	85130000	-0.2135	neutral	84604514	84604514	0.810032074408117	50	84602514	84606514	typical	neutral	none	CCR7	CCR7	NC_086028.1	84594399	84604514	-	LoF	FALSE	1	DLBCL	1
Cdc73	chr13	53910000	71930000	0.5636	gain	58000031	58000031	0.119538515835423	151	57998031	58002031	typical	gain	amplification	CDC73	CDC73	NC_086031.1	57897924	58000031	-	LoF	FALSE	1	LUAD	1
Cdh1	chr19	47230000	53370000	-0.0944	neutral	51402178	51402178	0.805958139534883	115	51400178	51404178	typical	neutral	none	CDH1	CDH1	NC_086037.1	51402178	51471572	+	LoF	FALSE	5	BLCA,BRCA,DLBCL,SSCC,ST	17
Cdk12	chr10	83590000	85130000	-0.2135	neutral	83697174	83697174	0.192756698216236	136	83695174	83699174	typical	neutral	none	CDK12	CDK12	NC_086028.1	83697174	83793676	+	LoF	FALSE	5	CESC,CM,OV,PRAD,ST	13
Cdkn2c	chr5	109110000	130070000	-0.0305	neutral	129645564	129645564	0.0838608048463868	185	129643564	129647564	hypo	neutral	promoter_hypo_only	CDKN2C	CDKN2C	NC_086023.1	129639736	129645564	-	LoF	FALSE	2	HGG,LGG	2
Chd2	chr1	131150000	138810000	-0.0257	neutral	136726874	136726874	0.0892936094973478	169	136724874	136728874	hypo	neutral	promoter_hypo_only	CHD2	CHD2	NC_086019.1	136597993	136726874	-	LoF	FALSE	4	BLCA,CLL,OS,RPC	6
Chek2	chr12	43050000	51550000	-0.529	loss	51481159	51481159	0.227196638655462	97	51479159	51483159	typical	loss	het_loss	CHEK2	CHEK2	NC_086030.1	51448838	51481159	-	LoF	FALSE	1	THCA	1
Cic	chr1	87450000	90550000	-0.4673	loss	89980660	89980660	0.316378710821999	123	89978660	89982660	typical	loss	het_loss	CIC	CIC	NC_086019.1	89980660	90008357	+	LoF	FALSE	2	LGG,LUAD	3
Clip1	chr12	37070000	41730000	-0.4441	loss	38571533	38571533	0.0993696207665788	166	38569533	38573533	hypo	loss	het_loss	CLIP1	CLIP1	NC_086030.1	38571533	38678779	+	LoF	FALSE	4	BC,CESC,LUAD,ST	4
Cmtr2	chr19	55090000	66490000	-0.4103	loss	55100135	55100135	0.302043056719754	89	55098135	55102135	typical	loss	het_loss	CMTR2	CMTR2	NC_086037.1	55100135	55106966	+	LoF	FALSE	2	LUAD,NSCLC	2
Ctcf	chr19	47230000	53370000	-0.0944	neutral	50431478	50431478	0.0803237636995455	214	50429478	50433478	hypo	neutral	promoter_hypo_only	CTCF	CTCF	NC_086037.1	50431478	50481013	+	LoF	FALSE	6	ALL,AML,BRCA,HNSC,NSCLC,UCEC	9
Cul3	chr9	44770000	94510000	-0.0019	neutral	89118775	89118775	0.0760259744700251	213	89116775	89120775	hypo	neutral	promoter_hypo_only	CUL3	CUL3	NC_086027.1	89040987	89118775	-	LoF	FALSE	5	HNSC,LUSC,NSCLC,PRAD,RPC	6
Cyld	chr19	34030000	38610000	-0.2033	neutral	34547311	34547311	0.293935303550974	122	34545311	34549311	typical	neutral	none	CYLD	CYLD	NC_086037.1	34487491	34547311	-	LoF	FALSE	4	HNSC,MM,NSPH,THYM	5
Daxx	chr20	2550000	5050000	-0.3659	neutral	4978062	4978062	0.151022587931591	133	4976062	4980062	typical	neutral	none	DAXX	DAXX	NC_086038.1	4971973	4978062	-	LoF	FALSE	2	ACC,PAIS	3
Dazap1	chr7	5670000	18170000	-0.1107	neutral	10098810	10098810	0.213135454545454	102	10096810	10100810	typical	neutral	none	DAZAP1	DAZAP1	NC_086025.1	10074342	10098810	-	LoF	FALSE	1	DLBCL	1
Dcc	chr18	66610000	69430000	0.0741	neutral	68248159	68248159	0.34434645770717	85	68246159	68250159	typical	neutral	none	DCC	DCC	NC_086036.1	67144272	68248159	-	LoF	FALSE	2	ESCA,PAAD	2
Ddb2	chr3	41510000	106350000	0.1926	neutral	97667617	97667617	0.775117320574163	22	97665617	97669617	typical	neutral	none	DDB2	DDB2	NC_086021.1	97640923	97667617	-	LoF	FALSE	1	AML	1
Ddx3x	chrX	4710000	16630000	-0.1155	neutral	12165983	12165983	0.0802069327924772	185	12163983	12167983	hypo	neutral	promoter_hypo_only	DDX3X	DDX3X	NC_086039.1	12152346	12165983	-	LoF	FALSE	11	BLY,BRCA,CLL,CM,DLBCL,HNSC,LY,MBL,MESO,NHLY,PIA	19
Dgcr8	chr11	89910000	99150000	0.0619	neutral	96208959	96208959	0.144758995882166	134	96206959	96210959	typical	neutral	none	DGCR8	DGCR8	NC_086029.1	96208959	96241560	+	LoF	FALSE	3	DLBCL,THCA,WT	3
Dicer1	chr6	128590000	134350000	-0.3669	neutral	129457252	129457252	0.196364896891351	163	129455252	129459252	typical	neutral	none	DICER1	DICER1	NC_086024.1	129392298	129457252	-	LoF	FALSE	2	COREAD,UCEC	2
Dis3	chr15	58010000	85950000	0.0536	neutral	82258299	82258299	0.165617861222159	118	82256299	82260299	typical	neutral	none	DIS3	DIS3	NC_086033.1	82231922	82258299	-	LoF	FALSE	1	MM	1
Dnajb1	chr19	39870000	41470000	-0.4965	loss	41431141	41431141	0.203831793195662	172	41429141	41433141	typical	loss	het_loss	DNAJB1	DNAJB1	NC_086037.1	41427453	41431141	-	LoF	FALSE	1	BLCA	1
Dot1l	chr7	5670000	18170000	-0.1107	neutral	9607095	9607095	0.173587360827975	164	9605095	9609095	typical	neutral	none	DOT1L	DOT1L	NC_086025.1	9569439	9607095	-	LoF	FALSE	1	DLBCL	1
Drosha	chr2	54090000	78870000	0.044	neutral	63591885	63591885	0.156140855614973	123	63589885	63593885	typical	neutral	none	DROSHA	DROSHA	NC_086020.1	63591885	63703688	+	LoF	FALSE	2	LUSC,WT	2
Dusp16	chr4	168250000	184390000	-0.2145	neutral	169361508	169361508	0.138146987951807	202	169359508	169363508	typical	neutral	none	DUSP16	DUSP16	NC_086022.1	169278118	169361508	-	LoF	FALSE	1	COREAD	2
Eif1ax	chrX	37310000	41510000	-0.0863	neutral	39322023	39322023	0.74740725870779	97	39320023	39324023	typical	neutral	none	EIF1AX	EIF1AX	NC_086039.1	39307320	39322023	-	LoF	FALSE	5	PRAD,THCA,THYM,UCEC,UVM	5
Elf3	chr13	31770000	53850000	0.3737	neutral	49247102	49247102	0.808229787234043	88	49245102	49249102	typical	neutral	none	ELF3	ELF3	NC_086031.1	49242265	49247102	-	LoF	FALSE	2	BLCA,CH	7
Epha2	chr5	139710000	159130000	-0.4289	loss	158888629	158888629	0.258418045387994	161	158886629	158890629	typical	loss	het_loss	EPHA2	EPHA2	NC_086023.1	158888629	158917100	+	LoF	FALSE	1	CH	2
Erbb4	chr9	44770000	94510000	-0.0019	neutral	78045633	78045633	0.110951944349413	188	78043633	78047633	hypo	neutral	promoter_hypo_only	ERBB4	ERBB4	NC_086027.1	76973386	78045633	-	LoF	FALSE	3	BLCA,BRCA,ESCA	3
Ercc2	chr1	87450000	90550000	-0.4673	loss	88161342	88161342	0.21544784824462	106	88159342	88163342	typical	loss	het_loss	ERCC2	ERCC2	NC_086019.1	88161342	88175102	+	LoF	FALSE	1	BLCA	6
Ercc3	chr18	17190000	24250000	0.031	neutral	24157831	24157831	0.251275747629468	79	24155831	24159831	typical	neutral	none	ERCC3	ERCC3	NC_086036.1	24157831	24188543	+	LoF	FALSE	1	CM	1
Etv4	chr10	85210000	107290000	-0.3096	neutral	87222202	87222202	0.153104546941446	143	87220202	87224202	typical	neutral	none	ETV4	ETV4	NC_086028.1	87206977	87222202	-	LoF	FALSE	1	NB	1
Ext2	chr3	41510000	106350000	0.1926	neutral	100253424	100253424	0.208984834874505	103	100251424	100255424	typical	neutral	none	EXT2	EXT2	NC_086021.1	100120776	100253424	-	LoF	FALSE	1	CH	1
Ezh2	chr4	75810000	77810000	0.0575	neutral	77698598	77698598	0.69683239608802	14	77696598	77700598	typical	neutral	none	EZH2	EZH2	NC_086022.1	77624223	77698598	-	LoF	FALSE	7	ALL,AML,DLBCL,EWS,LUAD,LY,NHLY	11
Fanca	chr19	67110000	72590000	-0.4056	loss	68271080	68271080	0.252020620373634	86	68269080	68273080	typical	loss	het_loss	FANCA	FANCA	NC_086037.1	68210562	68271080	-	LoF	FALSE	1	VV	1
Fancc	chr17	10000	11450000	-0.1793	neutral	1686374	1686374	0.248398002754821	100	1684374	1688374	typical	neutral	none	FANCC	FANCC	NC_086035.1	1686374	1818672	+	LoF	FALSE	1	GBM	1
Fancd2	chr4	145350000	149210000	-0.169	neutral	148234633	148234633	0.262741491841492	72	148232633	148236633	typical	neutral	none	FANCD2	FANCD2	NC_086022.1	148234633	148299035	+	LoF	FALSE	2	CM,COREAD	2
Fancf	chr1	109530000	119470000	-0.029	neutral	110587870	110587870	0.482478490566038	152	110585870	110589870	typical	neutral	none	FANCF	FANCF	NC_086019.1	110585054	110587870	-	LoF	FALSE	1	BLCA	1
Fas	chr1	240310000	241630000	0.6146	gain	241212155	241212155	0.448238766519824	44	241210155	241214155	typical	gain	amplification	FAS	FAS	NC_086019.1	241212155	241245774	+	LoF	FALSE	2	CESC,DLBCL	2
Fbxo11	chr6	5810000	28810000	0.03	neutral	12240348	12240348	0.0734188047058824	264	12238348	12242348	hypo	neutral	promoter_hypo_only	FBXO11	FBXO11	NC_086024.1	12240348	12316223	+	LoF	FALSE	2	BLY,NHLY	2
Fbxw7	chr2	154310000	178710000	-0.0152	neutral	172447738	172447738	0.0906741952546471	209	172445738	172449738	hypo	neutral	promoter_hypo_only	FBXW7	FBXW7	NC_086020.1	172447738	172609591	+	LoF	FALSE	16	BLCA,BRCA,CESC,CH,CLL,COREAD,ESCA,HNSC,LUSC,MBL,NSPH,PAAD,PIA,ST,UCEC,UCS	33
Fh	chr13	87090000	109345143	0.4249	gain	90082450	90082450	0.322469872783346	101	90080450	90084450	typical	gain	amplification	FH	FH	NC_086031.1	90056565	90082450	-	LoF	FALSE	1	NSCLC	1
Flcn	chr10	42690000	61130000	-0.1479	neutral	45107581	45107581	0.290986306499064	94	45105581	45109581	typical	neutral	none	FLCN	FLCN	NC_086028.1	45088164	45107581	-	LoF	FALSE	1	COREAD	1
Fn1	chr9	44770000	94510000	-0.0019	neutral	80714200	80714200	0.147502899118511	125	80712200	80716200	typical	neutral	none	FN1	FN1	NC_086027.1	80645507	80714200	-	LoF	FALSE	1	LUSC	1
Foxa1	chr6	59910000	91830000	0.0568	neutral	80871195	80871195	0.167043948775683	192	80869195	80873195	typical	neutral	none	FOXA1	FOXA1	NC_086024.1	80838380	80871195	-	LoF	FALSE	2	BRCA,PRAD	15
Foxa2	chr3	152730000	156830000	0.0906	neutral	155927508	155927508	0.473622770242499	180	155925508	155929508	typical	neutral	none	FOXA2	FOXA2	NC_086021.1	155923305	155927508	-	LoF	FALSE	1	UCEC	2
Fubp1	chr2	240850000	245850000	0.1058	neutral	243819529	243819529	0.0726991473602618	167	243817529	243821529	hypo	neutral	promoter_hypo_only	FUBP1	FUBP1	NC_086020.1	243819529	243846544	+	LoF	FALSE	2	CLL,LGG	3
Gata3	chr17	70890000	76350000	-0.119	neutral	73544234	73544234	0.860286530297183	89	73542234	73546234	typical	neutral	none	GATA3	GATA3	NC_086035.1	73544234	73575670	+	LoF	FALSE	2	ALL,BRCA	4
Gna13	chr10	85210000	107290000	-0.3096	neutral	94837271	94837271	0.133096913750345	193	94835271	94839271	typical	neutral	none	GNA13	GNA13	NC_086028.1	94837271	94870290	+	LoF	FALSE	2	BLCA,DLBCL	2
